UnitId,Types of aid,Type,Category,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
230898,Green Mountain College,State/Local grants,Number receiving,49,27,22,32,43,62,42,56,31,36,31,32,28,13,15,30
230898,Green Mountain College,-,Average amount,1576,3223,3897,2281,2216,1487,2271,2940,1291,2187,2009,2401,2028,1979,1788,3704
230898,Green Mountain College,Institutional grants,Number receiving,178,185,160,110,157,218,179,215,187,198,165,126,172,131,129,127
230898,Green Mountain College,-,Average amount,6100,6300,6899,7807,8546,10997,11525,11570,10939,12251,12247,15246,20431,19781,20417,23270
230898,Green Mountain College,Loans,Number receiving,178,185,155,92,159,200,154,206,179,153,151,120,143,101,101,114
230898,Green Mountain College,-,Average amount,5800,6200,2697,6861,8041,7602,6385,6556,7071,7179,10314,7191,6849,8117,6538,6929
230913,Johnson State College,First-time full-time undergraduates,Total,231,218,226,267,235,247,265,273,296,300,253,273,236,224,221,204
230913,Johnson State College,Any aid,Number receiving,190,178,194,218,194,205,234,239,267,267,237,253,217,179,217,200
230913,Johnson State College,Federal grants,Number receiving,102,92,119,132,112,107,109,118,146,146,139,145,126,96,131,132
230913,Johnson State College,-,Average amount,2325,2593,2642,2923,2884,2941,2918,3494,3642,4359,4435,4403,4752,4180,5140,4700
230913,Johnson State College,State/Local grants,Number receiving,104,125,126,137,89,68,104,102,125,133,123,117,102,76,107,114
230913,Johnson State College,-,Average amount,1895,2727,2489,2057,1220,1543,1631,1899,1640,1487,1355,1354,1555,1595,1489,1683
230913,Johnson State College,Institutional grants,Number receiving,111,69,111,118,119,124,147,150,152,135,188,200,163,146,199,187
230913,Johnson State College,-,Average amount,1303,1363,1415,1244,2585,1535,1263,1744,1956,1747,2902,3138,3572,4048,5051,4622
230913,Johnson State College,Loans,Number receiving,154,152,158,188,160,165,204,208,244,233,205,229,190,139,177,169
230913,Johnson State College,-,Average amount,2765,3179,3108,3691,4405,4442,3985,5040,6630,5999,6537,6837,7076,7408,7497,7459
230931,Lyndon State College,First-time full-time undergraduates,Total,261,288,296,349,335,325,345,385,352,391,325,378,334,361,294,267
230931,Lyndon State College,Any aid,Number receiving,221,249,291,314,307,303,329,377,338,378,310,366,319,274,291,262
230931,Lyndon State College,Federal grants,Number receiving,107,124,128,139,128,126,116,143,124,160,156,174,158,128,124,113
230931,Lyndon State College,-,Average amount,523,2879,2891,3065,2628,2617,2767,3447,3755,4103,4487,4427,4094,4267,4580,4898
230931,Lyndon State College,State/Local grants,Number receiving,85,121,120,135,123,126,139,137,139,145,146,128,116,110,117,95
230931,Lyndon State College,-,Average amount,944,1227,1417,1006,1073,1509,1425,1835,1569,1376,1176,1221,1191,1240,1342,1423
230931,Lyndon State College,Institutional grants,Number receiving,93,97,172,188,169,176,241,304,282,268,216,327,217,231,263,231
230931,Lyndon State College,-,Average amount,1366,1431,2565,2657,2678,1921,1737,1967,1994,2070,2712,4694,3156,3139,5092,3770
230931,Lyndon State College,Loans,Number receiving,174,209,255,248,256,252,272,297,269,299,277,313,271,234,244,205
230931,Lyndon State College,-,Average amount,3216,3298,3211,3206,5615,5608,4880,5236,6772,6280,6611,7216,7285,7988,8326,8216
230940,Marlboro College,First-time full-time undergraduates,Total,67,80,75,81,67,67,65,67,79,64,53,62,48,45,47,35
230940,Marlboro College,Any aid,Number receiving,53,69,51,68,62,60,0,54,72,61,47,61,47,45,45,35
230940,Marlboro College,Federal grants,Number receiving,14,23,13,28,17,21,0,12,14,16,17,18,11,17,19,16
230940,Marlboro College,-,Average amount,4100,3863,4327,3646,3482,2531,-,2419,4610,5283,5007,5072,6455,5745,5209,5204
230940,Marlboro College,State/Local grants,Number receiving,14,17,7,15,10,10,0,11,8,9,2,10,4,10,6,5
230940,Marlboro College,-,Average amount,1802,1600,1053,2296,665,665,-,1250,2035,1764,263,1498,814,2287,3234,2020
230940,Marlboro College,Institutional grants,Number receiving,45,63,40,51,56,57,0,51,68,60,46,61,45,45,45,34
230940,Marlboro College,-,Average amount,9908,11016,11142,12848,13566,10728,-,15542,14826,16465,16314,19510,19876,20128,20815,23211
230940,Marlboro College,Loans,Number receiving,44,62,47,62,57,60,0,45,56,42,38,48,37,33,33,30
230940,Marlboro College,-,Average amount,3066,2846,2946,2676,4501,2040,-,4842,5147,6410,7254,8114,6782,7793,6645,5983
230959,Middlebury College,First-time full-time undergraduates,Total,563,586,580,580,571,553,563,644,576,603,577,602,598,625,580,589
230959,Middlebury College,Any aid,Number receiving,298,233,235,253,257,263,277,325,263,274,227,260,267,288,289,297
230959,Middlebury College,Federal grants,Number receiving,34,37,56,53,47,42,53,62,53,61,59,61,73,100,89,103
230959,Middlebury College,-,Average amount,4766,6450,4923,5752,2606,5261,5695,5709,5999,6824,7245,6059,5530,5669,6155,5498
230959,Middlebury College,State/Local grants,Number receiving,18,18,11,97,86,80,21,12,16,16,18,13,17,14,10,11
230959,Middlebury College,-,Average amount,1383,1797,2526,1660,1178,1744,1253,1088,1593,1246,934,1456,1424,1604,1540,1527
230959,Middlebury College,Institutional grants,Number receiving,188,199,219,235,203,235,251,305,251,253,210,245,252,282,275,286
230959,Middlebury College,-,Average amount,18870,17400,19469,25284,9180,21008,27187,29477,30978,30711,30425,31640,35270,36477,38915,40274
230959,Middlebury College,Loans,Number receiving,216,207,195,253,187,200,220,254,206,164,174,189,188,190,203,185
230959,Middlebury College,-,Average amount,4347,4540,4098,4201,2224,4664,5395,4509,5447,5304,5162,5516,5342,6337,5739,6355
230977,New England Culinary Institute,First-time full-time undergraduates,Total,177,192,116,72,128,145,131,185,145,148,207,298,279,325,109,70
230977,New England Culinary Institute,Any aid,Number receiving,78,59,73,54,91,76,106,144,101,126,179,243,268,234,103,64
230977,New England Culinary Institute,Federal grants,Number receiving,25,18,29,22,41,33,28,45,41,61,97,125,98,101,52,32
230977,New England Culinary Institute,-,Average amount,2916,3393,3715,4458,3600,3201,3630,3657,2486,4158,4319,4050,3876,3512,3963,4318
230977,New England Culinary Institute,State/Local grants,Number receiving,25,20,7,9,18,23,17,37,17,26,40,65,33,44,21,18
230977,New England Culinary Institute,-,Average amount,3606,3930,3221,2567,1664,2850,3096,2572,3618,1869,2180,3147,2867,2052,3250,2834
230977,New England Culinary Institute,Institutional grants,Number receiving,32,27,30,36,80,61,102,131,63,89,122,185,180,137,79,58
230977,New England Culinary Institute,-,Average amount,1656,2843,1996,1931,2631,1942,4264,3991,4164,6049,5305,6034,4719,3835,7460,7179
230977,New England Culinary Institute,Loans,Number receiving,75,55,68,53,90,74,106,138,84,111,157,220,199,170,82,50
230977,New England Culinary Institute,-,Average amount,8257,8513,10037,14877,16126,20835,10282,7825,9229,9427,12591,14272,11661,15141,9285,8803
230995,Norwich University,First-time full-time undergraduates,Total,505,475,529,511,533,484,513,543,565,630,712,604,592,571,653,580
