UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
115746,"R",20103449,"R",17437073,"R",2666376,"R",20103449,"R",23117015,"R",22251665,"R",0,"R",865350,"R",-872635,"R",2673661,"R",0,"R",2666376,"R",0,"R",0,"R",0,"R",269897,"R",269897,"R",269897,"R",0,"R",22280368,"R",0,"R",0,"R",0,"R",61072,"R",424679,"R",277641,"R",73255,"R",23117015,"R",6775798,"R",566105,"R",12921604,"R",1968774,"R",0,"R",19384,"R",22251665
115931,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",639769,"R",94663,"R",0,"R",0,"R",734432,"R",0,"R",0,"R",3796088,"R",0,"R",0,"R",0,"R",120049,"R",0,"A",,"R",0,"R",3916137,"R",676296,"R",0,"R",784432,"A",,"R",0,"R",1678876,"R",3139604
116226,"R",1459176,"R",961399,"R",497777,"R",1459176,"R",3163597,"R",3253493,"R",41522,"R",-48374,"R",0,"R",546151,"R",0,"R",497777,"R",125584,"Z",0,"Z",0,"Z",0,"R",125584,"Z",0,"Z",0,"R",2945216,"R",125584,"Z",0,"Z",0,"R",15299,"Z",0,"R",77498,"R",0,"R",3163597,"R",383552,"Z",0,"R",2762460,"R",72180,"Z",0,"R",35301,"R",3253493
116350,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1223152,"Z",0,"Z",0,"Z",0,"R",1223152,"Z",0,"Z",0,"R",3514137,"R",1223152,"Z",0,"Z",0,"R",2972,"R",730268,"A",,"R",0,"R",5470529,"R",1196177,"Z",0,"R",4263360,"A",,"Z",0,"R",0,"R",5459537
116466,"R",2438171,"R",5783068,"R",-3344897,"R",2438171,"R",29118045,"R",13228498,"R",1548550,"R",17438097,"Z",0,"R",-4075556,"R",-16707438,"R",-3344897,"R",7493517,"R",14322981,"R",464565,"R",195921,"R",22476984,"R",666704,"Z",0,"R",29118045,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",29118045,"R",3981095,"Z",0,"R",9247403,"Z",0,"Z",0,"R",0,"R",13228498
116475,"R",9476148,"R",1005987,"R",8470161,"R",9476148,"R",9465108,"R",7065992,"R",503371,"R",2902487,"Z",0,"R",7030448,"R",-1462774,"R",8470161,"R",2176626,"R",1806997,"R",384883,"R",142755,"R",4511261,"R",300219,"Z",0,"R",9465108,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",9465108,"R",2039607,"Z",0,"R",5026385,"Z",0,"Z",0,"R",0,"R",7065992
116484,"R",2313782,"R",2315788,"R",-2006,"R",2313782,"R",18810697,"R",8765461,"R",1000386,"R",11045622,"Z",0,"R",-2370743,"R",-8676885,"R",-2006,"R",4559955,"R",2825594,"R",304911,"R",171683,"R",7862143,"R",607461,"Z",0,"R",18810697,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",18810697,"R",2679242,"Z",0,"R",6086219,"Z",0,"Z",0,"R",0,"R",8765461
116563,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",850126,"R",176135,"R",29122,"R",3965,"R",1059348,"Z",0,"Z",0,"R",2693984,"R",0,"R",0,"R",0,"R",110,"R",204167,"A",,"R",0,"R",2898261,"R",881221,"R",0,"R",1151069,"A",,"R",0,"R",9270,"R",2041560
117113,"R",24016243,"R",5239869,"R",18776374,"R",24016243,"R",49378838,"R",31486983,"R",-6326707,"R",11565148,"R",-11864137,"R",19075363,"R",0,"R",18776374,"R",5770798,"R",15240832,"R",2342384,"R",3726964,"R",27080978,"R",27080978,"R",0,"R",23343283,"R",21011630,"R",2342384,"R",0,"R",0,"R",0,"R",2681541,"R",0,"R",49378838,"R",7404741,"R",0,"R",22274293,"R",1807948,"R",0,"R",1,"R",31486983
117238,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",426265,"R",7191,"R",0,"R",18000,"R",451456,"R",0,"R",0,"R",570711,"R",451456,"R",0,"R",0,"R",179916,"R",138240,"A",,"R",2752,"R",1343075,"R",314381,"R",0,"R",672780,"A",,"R",0,"R",0,"R",987161
117928,"R",17579358,"R",5448454,"R",12130904,"R",17579358,"R",33158157,"R",32101139,"R",-301043,"R",755975,"R",-1508600,"R",12883529,"R",0,"R",12130904,"R",3855536,"R",1653811,"R",1661252,"R",1307494,"R",8478093,"R",8478093,"R",0,"R",22265160,"R",5509347,"R",1661252,"R",0,"R",0,"R",0,"R",3722397,"R",1,"R",33158157,"R",6649111,"R",0,"R",22396957,"R",3055070,"R",0,"R",1,"R",32101139
117955,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",834484,"Z",0,"Z",0,"Z",0,"R",834484,"Z",0,"Z",0,"R",2547714,"Z",0,"Z",0,"Z",0,"Z",0,"R",233000,"A",,"R",0,"R",2780714,"R",805309,"Z",0,"R",1395336,"A",,"Z",0,"R",119113,"R",2319758
118116,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",370854,"R",25920,"R",0,"R",6890,"R",403664,"R",0,"R",0,"R",474381,"Z",0,"Z",0,"Z",0,"Z",0,"R",87706,"A",,"R",0,"R",562087,"R",521266,"Z",0,"R",39235,"A",,"Z",0,"R",0,"R",560501
118125,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",171218,"R",5158,"R",0,"R",5342,"R",181718,"R",0,"R",0,"R",209062,"R",0,"R",0,"R",0,"R",0,"R",36463,"A",,"R",0,"R",245525,"R",224745,"Z",0,"R",22228,"A",,"Z",0,"R",0,"R",246973
118134,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",345489,"R",0,"R",0,"R",0,"R",345489,"R",0,"R",0,"R",839918,"R",0,"R",0,"R",0,"R",1613,"R",99595,"A",,"R",44104,"R",985230,"R",450957,"R",0,"R",126898,"A",,"R",0,"R",433754,"R",1011609
118143,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",299145,"R",0,"R",0,"R",0,"R",299145,"R",0,"R",0,"R",419959,"R",0,"R",0,"R",0,"R",806,"R",49797,"A",,"R",22053,"R",492615,"R",225478,"R",0,"R",63449,"A",,"R",0,"R",216878,"R",505805
118161,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",377847,"R",9680,"Z",0,"Z",0,"R",387527,"Z",0,"Z",0,"R",1519360,"Z",0,"Z",0,"Z",0,"Z",0,"R",438176,"A",,"R",0,"R",1957536,"R",543909,"Z",0,"R",969347,"A",,"Z",0,"R",0,"R",1513256
118189,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",653336,"R",0,"R",0,"R",0,"R",653336,"R",653336,"R",0,"R",263749,"R",653336,"R",0,"R",0,"R",0,"R",307005,"A",,"R",0,"R",1224090,"R",507298,"R",0,"R",554025,"A",,"R",0,"R",0,"R",1061323
118198,"R",9576510,"R",1280352,"R",8296158,"R",9576510,"R",11790040,"R",8430060,"R",-55464,"R",3304516,"R",0,"R",7454925,"R",-2463283,"R",8296158,"R",2944918,"R",70236,"R",146505,"R",36145,"R",3197804,"R",0,"R",0,"R",10709345,"R",0,"R",0,"R",0,"R",333952,"R",746743,"R",0,"R",0,"R",11790040,"R",2239126,"R",0,"R",4200281,"R",0,"R",0,"R",1990653,"R",8430060
118259,"R",12606304,"R",1373047,"R",11233257,"R",12606304,"R",8161390,"R",6560835,"R",0,"R",1600555,"R",0,"R",9632702,"R",0,"R",11233257,"R",2384429,"R",70940,"R",285741,"R",15687,"R",2756797,"R",574488,"R",0,"R",8161390,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8161390,"R",2614416,"R",0,"R",3946419,"R",0,"R",0,"R",0,"R",6560835
118277,"R",41103124,"R",2204450,"R",38898674,"R",41103124,"R",22057299,"R",17051889,"R",0,"R",5005410,"R",0,"R",33893264,"R",0,"R",38898674,"R",3532908,"R",99069,"R",3610596,"R",116599,"R",7359172,"R",388245,"R",0,"R",22057299,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22057299,"R",8574184,"R",0,"R",8477705,"R",0,"R",0,"R",0,"R",17051889
118286,"R",32601758,"R",877338,"R",31724420,"R",32601758,"R",12688782,"R",11447192,"R",0,"R",1241590,"R",0,"R",30482830,"R",0,"R",31724420,"R",2571723,"R",121169,"R",1685300,"R",4790,"R",4382982,"R",514661,"R",0,"R",12688782,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12688782,"R",4778952,"R",0,"R",6666781,"R",1459,"R",0,"R",0,"R",11447192
118356,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",13212219,"R",51095,"R",46396,"R",35868,"R",13345578,"R",545724,"R",0,"R",34164347,"R",0,"R",0,"R",0,"R",48769,"R",7208667,"A",,"R",0,"R",41421783,"R",15442031,"R",0,"R",19690553,"A",,"R",0,"R",3832700,"R",38965284
118921,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3077250,"R",12410,"R",10806,"R",8354,"R",3108820,"R",127104,"R",0,"R",7957196,"R",0,"R",0,"R",0,"R",11359,"R",1678966,"A",,"R",0,"R",9647521,"R",3596594,"R",0,"R",4586114,"A",,"R",0,"R",892671,"R",9075379
118958,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",201630,"R",2768,"Z",0,"Z",0,"R",204398,"Z",0,"Z",0,"R",172469,"R",201630,"Z",0,"Z",0,"Z",0,"R",28517,"A",,"R",0,"R",402616,"R",174993,"Z",0,"R",297161,"A",,"Z",0,"R",0,"R",472154
