UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
101116,"R",10028567,"R",5014228,"R",5014339,"R",10028567,"R",13890612,"R",11137822,"R",-1113219,"R",1639571,"R",-755274,"R",4130042,"R",0,"R",5014339,"R",2633791,"R",1558371,"R",85400,"R",702376,"R",4979938,"R",4979938,"R",0,"R",9061619,"R",4192161,"R",85400,"R",0,"R",0,"R",0,"R",551432,"R",0,"R",13890612,"R",2735270,"R",0,"R",7973027,"R",429525,"R",0,"R",0,"R",11137822
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",92344,"R",0,"R",0,"R",0,"R",92344,"R",0,"R",0,"R",103633,"R",0,"R",0,"R",0,"R",0,"R",52061,"A",,"R",90723,"R",246417,"R",117130,"R",0,"R",53005,"A",,"R",0,"R",49465,"R",219600
101365,"R",12104793,"R",1116756,"R",10988037,"R",12104793,"R",5769720,"R",5105480,"R",-149055,"R",515185,"Z",0,"R",10474690,"R",-1838,"R",10988037,"R",462699,"R",11600,"Z",0,"R",85000,"R",559299,"R",559299,"R",0,"R",5210421,"R",474299,"R",0,"R",85000,"R",0,"R",0,"R",0,"R",0,"R",5769720,"R",2756386,"Z",0,"R",2349094,"Z",0,"Z",0,"R",0,"R",5105480
101958,"R",3527971,"R",176976,"R",3350995,"R",3527971,"R",1504273,"R",1927459,"R",0,"R",-423186,"R",0,"R",532242,"R",3241939,"R",3350995,"R",444440,"R",0,"R",0,"R",0,"R",444440,"R",0,"R",0,"R",1431210,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",73063,"R",1504273,"R",613133,"R",0,"R",0,"R",720640,"R",0,"R",593686,"R",1927459
102845,"R",29754837,"R",6186736,"R",23568101,"R",29754837,"R",56271493,"R",48071641,"R",-194547,"R",8005305,"Z",0,"R",15562796,"R",0,"R",23568101,"R",13801860,"R",239674,"R",324330,"Z",0,"R",14365864,"R",286284,"Z",0,"R",56267227,"Z",0,"Z",0,"Z",0,"R",4266,"Z",0,"Z",0,"R",0,"R",56271493,"R",16567074,"Z",0,"R",26942244,"Z",0,"Z",0,"R",4562323,"R",48071641
103501,"R",5503626,"R",1502639,"R",4000987,"R",5503626,"R",5423073,"R",5091887,"R",0,"R",331186,"Z",0,"R",3963580,"R",-293779,"R",4000987,"R",1650402,"R",207663,"R",304959,"R",30021,"R",2193045,"R",0,"R",0,"R",5315688,"R",0,"R",0,"R",0,"R",34646,"R",72739,"R",0,"R",0,"R",5423073,"R",1556094,"Z",0,"R",3535793,"R",0,"R",0,"R",0,"R",5091887
103644,"R",10243663,"R",2284572,"R",7959091,"R",10243663,"R",29563422,"R",25502562,"R",0,"R",4060860,"Z",0,"R",34331720,"R",-30433489,"R",7959091,"R",9057602,"R",54916,"R",1052,"R",0,"R",9113570,"R",0,"R",0,"R",29563422,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",29563422,"R",15920185,"R",0,"R",9582377,"R",0,"R",0,"R",0,"R",25502562
103723,"R",12186315,"R",5660947,"R",6525368,"R",12186315,"R",19771416,"R",19274129,"R",-187222,"R",310065,"Z",0,"R",6215303,"R",0,"R",6525368,"R",5133878,"R",1513556,"R",21183,"Z",0,"R",6668617,"R",142403,"Z",0,"R",17412570,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2307089,"R",51757,"R",19771416,"R",3742048,"Z",0,"R",13311312,"R",1775259,"Z",0,"R",445510,"R",19274129
103732,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",283217,"R",2850,"R",12683,"R",950,"R",299700,"Z",0,"Z",0,"R",752456,"Z",0,"Z",0,"Z",0,"Z",0,"R",153082,"A",,"R",86044,"R",991582,"R",1040909,"Z",0,"R",60100,"A",,"Z",0,"R",720436,"R",1821445
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",736115,"R",13350,"R",82393,"R",4450,"R",836308,"Z",0,"Z",0,"R",1645311,"Z",0,"Z",0,"Z",0,"Z",0,"R",152234,"A",,"R",210199,"R",2007744,"R",1463655,"Z",0,"R",77080,"A",,"Z",0,"R",720436,"R",2261171
103811,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3242074,"R",0,"R",1929,"R",0,"R",3244003,"R",3244003,"R",0,"R",8599206,"R",0,"R",0,"R",0,"R",33934,"R",0,"A",,"R",3244003,"R",11877143,"R",4303121,"R",0,"R",8096950,"A",,"R",0,"R",1531047,"R",13931118
103893,"R",120442052,"R",18546714,"R",101895338,"R",120442052,"R",79516828,"R",92322399,"R",6019691,"R",-6785880,"R",986650,"R",108681238,"R",-986670,"R",101895338,"R",1990779,"R",365287,"R",0,"R",96727,"R",2452793,"R",75333,"R",0,"R",8012113,"R",0,"R",0,"R",0,"R",6392,"R",0,"R",403742,"R",0,"R",8422247,"R",1825384,"R",0,"R",6709114,"R",287745,"R",0,"R",0,"R",8822243
103909,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2808122,"R",515261,"R",0,"R",52177,"R",3375560,"R",22000,"R",0,"R",10919577,"R",0,"R",0,"R",0,"R",13963,"R",0,"R",946585,"R",0,"R",11880125,"R",5278747,"R",0,"R",8324509,"R",668102,"R",0,"R",1,"R",14271359
103927,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1528958,"R",280548,"R",0,"R",66942,"R",1876448,"R",50511,"R",0,"R",6099510,"R",0,"R",0,"R",0,"R",8122,"R",0,"R",360822,"R",0,"R",6468454,"R",1480308,"R",0,"R",5286362,"R",216780,"R",0,"R",1,"R",6983451
103945,"R",9672676,"R",935134,"R",8737542,"R",9672676,"R",6748508,"R",4255984,"R",-1,"R",2492523,"R",0,"R",6344735,"R",-99716,"R",8737542,"R",1988651,"Z",0,"Z",0,"Z",0,"R",1988651,"R",82746,"Z",0,"R",6748508,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",6748508,"R",1143239,"Z",0,"R",2202702,"Z",0,"Z",0,"R",910043,"R",4255984
103954,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",235617,"R",26114,"R",0,"R",200,"R",261931,"R",0,"R",0,"R",525117,"R",0,"R",0,"R",0,"R",1946,"R",89399,"A",,"R",0,"R",616462,"R",237876,"R",0,"R",416049,"A",,"R",0,"R",0,"R",653925
