UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
390701,"R",16,"R",841662,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",730597,"R",1,"R",111065,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
392257,"R",61,"R",3027063,"Z",0,"Z",0,"Z",0,"Z",0,"R",57,"R",2755103,"R",3,"R",247000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",24960,"Z",0,"Z",0,"Z",0,"Z",0
392415,"R",19,"R",934097,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",43908,"R",5,"R",319000,"R",2,"R",89508,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",386001,"R",3,"R",95680,"Z",0,"Z",0,"Z",0,"Z",0
392840,"R",29,"R",1485700,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",128000,"R",9,"R",783945,"R",2,"R",76365,"R",3,"R",138635,"R",1,"R",75000,"Z",0,"Z",0,"R",4,"R",86694,"Z",0,"Z",0,"R",7,"R",197061,"Z",0,"Z",0,"Z",0,"Z",0
393180,"R",15,"R",679527,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",150000,"R",2,"R",162500,"R",1,"R",41150,"R",1,"R",40000,"R",1,"R",50000,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",99877,"R",3,"R",111000,"Z",0,"Z",0,"R",1,"R",25000
395362,"R",66,"R",4375268,"Z",0,"Z",0,"R",8,"R",621776,"R",9,"R",300120,"R",6,"R",1135726,"R",2,"R",144196,"R",6,"R",412801,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",250359,"Z",0,"Z",0,"R",27,"R",1510290,"Z",0,"Z",0,"Z",0,"Z",0
398130,"R",40,"R",2166339,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",756000,"R",5,"R",500000,"R",2,"R",121181,"R",2,"R",94346,"R",1,"R",55000,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",400659,"R",6,"R",239153,"Z",0,"Z",0,"Z",0,"Z",0
399212,"R",157,"R",12111396,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",1006410,"R",15,"R",2837518,"R",11,"R",688742,"R",9,"R",790128,"R",32,"R",2137017,"Z",0,"Z",0,"R",25,"R",1304997,"Z",0,"Z",0,"R",50,"R",3346584,"Z",0,"Z",0,"Z",0,"Z",0
399869,"R",23,"R",1574045,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",351684,"R",7,"R",850632,"R",3,"R",125840,"R",1,"R",50050,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",64799,"Z",0,"Z",0,"R",4,"R",131040,"Z",0,"Z",0,"Z",0,"Z",0
399911,"R",130,"R",9329553,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",608948,"R",34,"R",4040486,"R",7,"R",466340,"R",12,"R",867005,"R",23,"R",1298580,"R",2,"R",138340,"R",9,"R",185458,"R",2,"R",108080,"R",29,"R",1488666,"Z",0,"Z",0,"R",3,"R",127650
