UNITID,ARANK,XEMPCNTM,EMPCNTM,XEMPCNTW,EMPCNTW,XEMPCNTT,EMPCNTT 
460844,7,"R",2,"R",1,"R",3
460923,4,"R",1,"R",9,"R",10
460923,7,"R",1,"R",9,"R",10
461281,1,"Z",0,"R",5,"R",5
461281,7,"Z",0,"R",5,"R",5
461643,6,"R",1,"R",2,"R",3
461643,7,"R",1,"R",2,"R",3
461759,6,"R",5,"R",1,"R",6
461759,7,"R",5,"R",1,"R",6
462354,1,"R",4,"R",2,"R",6
462354,7,"R",4,"R",2,"R",6
466514,6,"Z",0,"R",5,"R",5
466514,7,"Z",0,"R",5,"R",5
475033,3,"Z",0,"R",6,"R",6
475033,7,"Z",0,"R",6,"R",6
