UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
101116,"R",5425518,"R",2779023,"R",2646495,"R",5425518,"R",10407556,"R",7893317,"R",-879063,"R",1635176,"R",-68832,"R",1080151,"R",0,"R",2646495,"R",1549389,"R",131091,"R",60435,"R",92999,"R",1833914,"R",1833914,"R",0,"R",8078348,"R",1680480,"R",60435,"R",0,"R",0,"R",0,"R",588293,"R",0,"R",10407556,"R",1941538,"R",0,"R",5504337,"R",447442,"Z",0,"R",0,"R",7893317
101365,"R",9629431,"R",912525,"R",8716906,"R",9629431,"R",4110428,"R",4106984,"R",-565,"R",2879,"R",0,"R",8714027,"R",0,"R",8716906,"R",1147100,"R",1125,"R",19771,"Z",0,"R",1167996,"R",1167996,"Z",0,"R",4110428,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",4110428,"R",1806064,"Z",0,"R",2300920,"Z",0,"Z",0,"R",0,"R",4106984
101958,"R",222221,"R",18488,"R",203733,"R",222221,"R",746359,"R",689034,"R",-77103,"R",-19778,"R",30743,"R",192768,"R",0,"R",203733,"R",161155,"R",0,"R",0,"R",0,"R",161155,"R",0,"R",0,"R",660285,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",86074,"R",746359,"R",248980,"R",0,"R",0,"R",86074,"R",0,"R",353980,"R",689034
102845,"R",13420196,"R",2113048,"R",11307148,"R",13420196,"R",11952090,"R",9109403,"R",-108761,"R",2733926,"Z",0,"R",8505805,"R",67417,"R",11307148,"R",3109517,"R",162260,"R",0,"Z",0,"R",3271777,"R",0,"R",0,"R",11952090,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",11952090,"R",724935,"R",0,"R",3978093,"Z",0,"Z",0,"R",4406375,"R",9109403
103501,"A",,"A",,"A",,"A",,"R",3496350,"R",3430338,"A",,"A",,"A",,"A",,"A",,"A",,"R",754355,"R",12940,"R",129098,"R",3163,"R",899556,"Z",0,"Z",0,"R",3378026,"R",0,"R",0,"R",0,"R",16603,"R",101721,"A",,"R",0,"R",3496350,"R",1025322,"Z",0,"R",2405016,"A",,"Z",0,"R",0,"R",3430338
103644,"R",13036230,"R",2139521,"R",10896709,"R",13036230,"R",60063558,"R",49274636,"R",0,"R",10788922,"R",-7815102,"R",7922889,"R",0,"R",10896709,"R",12398133,"R",122562,"R",7260,"R",0,"R",12527955,"R",0,"R",0,"R",60063558,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",60063558,"R",23853106,"R",0,"R",25421530,"R",0,"R",0,"R",0,"R",49274636
103723,"R",41271739,"R",8820377,"R",32451362,"R",41271739,"R",35139359,"R",32433685,"R",0,"R",2705674,"R",0,"R",28994020,"R",751668,"R",32451362,"R",3099219,"R",411878,"R",144851,"R",47047,"R",3702995,"R",507315,"R",0,"R",27163003,"R",0,"R",0,"R",507315,"R",0,"R",0,"R",4788962,"R",2680079,"R",35139359,"R",5450719,"R",0,"R",20460806,"R",3736268,"R",0,"R",2785892,"R",32433685
103732,"A",,"A",,"A",,"A",,"R",886598,"R",959472,"A",,"A",,"A",,"A",,"A",,"A",,"R",203867,"R",4642,"R",19038,"R",1993,"R",229540,"Z",0,"Z",0,"R",723991,"R",0,"Z",0,"Z",0,"Z",0,"R",75601,"A",,"R",87006,"R",886598,"R",877241,"Z",0,"R",82231,"A",,"Z",0,"R",0,"R",959472
103741,"A",,"A",,"A",,"A",,"R",2662456,"R",1926451,"A",,"A",,"A",,"A",,"A",,"A",,"R",823585,"R",16525,"R",124433,"R",6338,"R",970881,"Z",0,"Z",0,"R",2149493,"R",0,"Z",0,"Z",0,"Z",0,"R",164341,"A",,"R",348622,"R",2662456,"R",1842082,"Z",0,"R",84369,"A",,"Z",0,"R",0,"R",1926451
103811,"A",,"A",,"A",,"A",,"R",6125057,"R",5911207,"A",,"A",,"A",,"A",,"A",,"A",,"R",1264273,"R",0,"R",2867,"R",0,"R",1267140,"R",1267140,"R",0,"R",4845229,"R",0,"R",0,"R",0,"R",12687,"R",0,"A",,"R",1267141,"R",6125057,"R",1757930,"R",0,"R",3691068,"A",,"R",0,"R",462209,"R",5911207
