UNITID,CONTRACT,ARANK,XTENUREM,TENUREM,XONTRCKM,ONTRCKM,XNOTRCKM,NOTRCKM,XNOFACTM,NOFACTM,XTENUREW,TENUREW,XONTRCKW,ONTRCKW,XNOTRCKW,NOTRCKW,XNOFACTW,NOFACTW,XEMPCNTT,EMPCNTT 
102553,2,4,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2
102553,2,6,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",2
102553,2,7,"R",3,"R",1,"R",4,"R",1,"R",3,"Z",0,"R",2,"R",1,"R",15
102614,1,1,"R",75,"Z",0,"R",1,"Z",0,"R",13,"Z",0,"Z",0,"Z",0,"R",89
102614,1,2,"R",58,"R",8,"R",2,"Z",0,"R",47,"R",1,"R",3,"Z",0,"R",119
102614,1,3,"Z",0,"R",66,"R",22,"Z",0,"Z",0,"R",50,"R",47,"Z",0,"R",185
102614,1,4,"Z",0,"Z",0,"R",10,"Z",0,"Z",0,"Z",0,"R",23,"Z",0,"R",33
102614,1,6,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2
102614,1,7,"R",133,"R",74,"R",37,"Z",0,"R",60,"R",51,"R",73,"Z",0,"R",428
102614,2,1,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3
102614,2,2,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2
102614,2,6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1
102614,2,7,"R",4,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",6
102632,1,1,"R",3,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",6
102632,1,2,"R",18,"R",2,"Z",0,"Z",0,"R",7,"R",1,"R",1,"Z",0,"R",29
102632,1,3,"Z",0,"R",15,"R",13,"Z",0,"R",1,"R",18,"R",14,"Z",0,"R",61
102632,1,4,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
102632,1,7,"R",21,"R",17,"R",14,"Z",0,"R",11,"R",19,"R",15,"Z",0,"R",97
102669,1,1,"Z",0,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",10
102669,1,2,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",9,"Z",0,"R",14
102669,1,3,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",10,"Z",0,"R",15
102669,1,4,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",8
102669,1,7,"Z",0,"Z",0,"R",21,"Z",0,"Z",0,"Z",0,"R",26,"Z",0,"R",47
102669,2,3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
102669,2,7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
102845,2,4,"Z",0,"Z",0,"R",30,"Z",0,"Z",0,"Z",0,"R",41,"Z",0,"R",71
102845,2,7,"Z",0,"Z",0,"R",30,"Z",0,"Z",0,"Z",0,"R",41,"Z",0,"R",71
103644,2,4,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",16,"Z",0,"R",22
103644,2,7,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",16,"Z",0,"R",22
103723,2,4,"Z",0,"Z",0,"R",20,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",23
