UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
101116,"R",9453831,"R",5342172,"R",4111659,"R",9453831,"R",11891254,"R",8787685,"R",-1209475,"R",1894094,"R",-428931,"R",2646495,"R",1,"R",4111659,"R",2507845,"R",208680,"R",76815,"R",176548,"R",2969888,"R",2969887,"Z",0,"R",8503785,"R",2716524,"R",76815,"R",0,"R",0,"R",0,"R",594130,"R",0,"R",11891254,"R",2336609,"R",0,"R",6044594,"R",406481,"R",0,"R",1,"R",8787685
101365,"R",10547862,"R",915041,"R",9632821,"R",10547862,"R",5777394,"R",4715206,"R",-146272,"R",915916,"R",0,"R",8716906,"R",-1,"R",9632821,"R",1546975,"R",161120,"R",21068,"R",8550,"R",1737713,"R",1737713,"R",0,"R",5777394,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5777394,"R",2392613,"R",0,"R",2322593,"R",0,"R",0,"R",0,"R",4715206
101958,"R",146339,"R",28249,"R",118090,"R",146339,"R",955134,"R",799087,"R",-71626,"R",84421,"R",-170064,"R",203733,"R",0,"R",118090,"R",224076,"R",0,"R",0,"R",0,"R",224076,"R",0,"R",0,"R",876131,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",79003,"R",955134,"R",287238,"R",0,"R",0,"R",79003,"R",0,"R",432846,"R",799087
102845,"R",42437792,"R",28275101,"R",14162691,"R",42437792,"R",22240394,"R",19302388,"R",-16840,"R",2921166,"R",0,"R",11307148,"R",-65623,"R",14162691,"R",3849751,"R",91866,"R",315788,"Z",0,"R",4257405,"R",0,"R",0,"R",22240394,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",22240394,"R",2172214,"R",0,"R",7202559,"R",0,"R",0,"R",9927615,"R",19302388
103501,"A",,"A",,"A",,"A",,"R",3887650,"R",3586170,"A",,"A",,"A",,"A",,"A",,"A",,"R",856215,"R",16068,"R",249984,"R",4921,"R",1127188,"R",0,"R",0,"R",3696703,"R",0,"R",0,"R",0,"R",24231,"R",166716,"A",,"R",0,"R",3887650,"R",1118885,"R",0,"R",2467285,"A",,"R",0,"R",0,"R",3586170
103644,"R",38610741,"R",3556210,"R",35054531,"R",38610741,"R",93407334,"R",70233569,"R",0,"R",23173765,"R",984057,"R",10896709,"R",0,"R",35054531,"R",28110893,"R",110461,"R",8387,"R",0,"R",28229741,"R",0,"R",0,"R",93407334,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",93407334,"R",34281253,"R",0,"R",35952316,"R",0,"R",0,"R",0,"R",70233569
103723,"R",45162161,"R",10471181,"R",34690980,"R",45162161,"R",27634367,"R",25638333,"R",0,"R",1996034,"R",0,"R",32451362,"R",243584,"R",34690980,"R",3936057,"R",540258,"R",88578,"R",81465,"R",4646358,"R",0,"R",0,"R",23298938,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3944845,"R",390584,"R",27634367,"R",4131605,"R",0,"R",16251033,"R",3014795,"R",0,"R",2240900,"R",25638333
103732,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",390725,"R",2250,"R",1816,"R",750,"R",395541,"Z",0,"Z",0,"R",908986,"R",0,"R",0,"R",0,"R",0,"R",122543,"A",,"R",144740,"R",1176269,"R",1061617,"R",0,"R",72150,"A",,"Z",0,"R",0,"R",1133767
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1124549,"R",11700,"R",72384,"R",3900,"R",1212533,"Z",0,"Z",0,"R",2086558,"R",0,"R",0,"R",0,"R",0,"R",154015,"A",,"R",265642,"R",2506215,"R",1824335,"Z",0,"R",87798,"A",,"R",0,"R",0,"R",1912133
103811,"A",,"A",,"A",,"A",,"R",9463497,"R",8877295,"A",,"A",,"A",,"A",,"A",,"A",,"R",2473484,"R",0,"R",1682,"R",0,"R",2475166,"R",2475166,"R",0,"R",6895075,"R",0,"R",0,"R",0,"R",93256,"R",0,"A",,"R",2475166,"R",9463497,"R",2453767,"R",0,"R",5647955,"A",,"R",0,"R",775573,"R",8877295
103893,"R",128176874,"R",34393005,"R",93783869,"R",128176874,"R",104571445,"R",80929294,"R",-2,"R",23642149,"Z",0,"R",70141721,"R",-1,"R",93783869,"R",3971806,"R",273577,"R",0,"R",0,"R",4245383,"Z",0,"R",0,"R",11829096,"R",0,"R",0,"R",0,"R",3986,"R",0,"R",0,"R",546315,"R",12379397,"R",2559828,"R",0,"R",4927624,"R",0,"R",0,"R",683,"R",7488135
103909,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4267644,"R",319498,"R",0,"R",0,"R",4587142,"Z",0,"R",0,"R",14260276,"R",0,"R",0,"R",0,"R",15034,"R",0,"R",0,"R",869874,"R",15145184,"R",3983483,"R",0,"R",6317745,"R",0,"R",0,"R",0,"R",10301228
103927,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2966918,"R",202371,"R",0,"R",0,"R",3169289,"Z",0,"R",0,"R",8523991,"R",0,"R",0,"R",0,"R",6170,"R",0,"R",0,"R",484282,"R",9014443,"R",2104290,"R",0,"R",3984021,"R",0,"R",0,"R",0,"R",6088311
103945,"R",1790831,"R",1102720,"R",688111,"R",1790831,"R",4199967,"R",2995961,"R",-3306,"R",1200700,"R",125352,"R",7232207,"R",-7870148,"R",688111,"R",1334407,"R",25461,"R",0,"R",86460,"R",1446328,"R",0,"R",0,"R",4199967,"R",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",4199967,"R",787430,"R",0,"R",1698549,"R",0,"R",0,"R",509982,"R",2995961
103954,"A",,"A",,"A",,"A",,"R",710622,"R",598526,"A",,"A",,"A",,"A",,"A",,"A",,"R",140578,"R",3832,"R",0,"R",27380,"R",171790,"R",0,"R",0,"R",599477,"R",0,"R",0,"R",0,"R",2062,"R",109083,"A",,"R",0,"R",710622,"R",202120,"R",0,"R",396406,"A",,"R",0,"R",0,"R",598526
103963,"A",,"A",,"A",,"A",,"R",18988933,"R",13883548,"A",,"A",,"A",,"A",,"A",,"A",,"R",8392665,"R",167580,"R",0,"R",0,"R",8560245,"R",0,"R",0,"R",18942344,"R",0,"R",0,"R",0,"R",38357,"R",0,"A",,"R",8232,"R",18988933,"R",4472533,"R",0,"R",3352915,"A",,"R",0,"R",6058100,"R",13883548
104090,"R",18056961,"R",13702719,"R",4354242,"R",18056961,"R",28835104,"R",27376387,"R",0,"R",1458717,"R",-528000,"R",3423525,"R",0,"R",4354242,"R",10515653,"R",149536,"R",0,"R",212948,"R",10878137,"R",0,"R",0,"R",28807067,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",28037,"R",28835104,"R",9057285,"R",0,"R",15743719,"R",0,"R",0,"R",2575383,"R",27376387
104188,"R",4622571,"R",2167539,"R",2455032,"R",4622571,"R",7553440,"R",7321236,"R",-49793,"R",182411,"R",82215,"R",2568618,"R",-378212,"R",2455032,"R",1072387,"R",71527,"R",14250,"R",51425,"R",1209589,"R",311823,"R",0,"R",7354698,"R",0,"R",0,"R",0,"R",49793,"R",0,"R",0,"R",148949,"R",7553440,"R",1694364,"R",0,"R",2005910,"R",0,"R",0,"R",3620962,"R",7321236
104294,"A",,"A",,"A",,"A",,"R",4241158,"R",3850583,"A",,"A",,"A",,"A",,"A",,"A",,"R",450940,"R",0,"R",0,"R",0,"R",450940,"R",450940,"R",0,"R",2854794,"R",0,"R",0,"R",0,"R",0,"R",935424,"A",,"R",450940,"R",4241158,"R",1517586,"R",0,"R",1908462,"A",,"R",0,"R",424535,"R",3850583
104364,"R",14938570,"R",2593376,"R",12345194,"R",14938570,"R",10882641,"R",10102601,"R",-289570,"R",490470,"R",-76955,"R",11931679,"R",0,"R",12345194,"R",3396019,"R",38248,"R",0,"R",58438,"R",3492705,"R",3492704,"Z",0,"R",5814883,"R",3434266,"R",0,"R",0,"R",0,"R",0,"R",1633492,"R",0,"R",10882641,"R",1533771,"R",0,"R",8069383,"R",499447,"R",0,"R",0,"R",10102601
104391,"A",,"A",,"A",,"A",,"R",594066,"R",471711,"A",,"A",,"A",,"A",,"A",,"A",,"R",281259,"R",0,"R",0,"R",0,"R",281259,"R",0,"R",0,"R",570246,"R",0,"R",0,"R",0,"R",4291,"R",19529,"A",,"R",0,"R",594066,"R",179213,"R",0,"R",269694,"A",,"R",0,"R",22804,"R",471711
104434,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",303802,"R",600,"R",10886,"R",200,"R",315488,"Z",0,"Z",0,"R",740406,"R",0,"R",0,"R",0,"R",0,"R",90176,"A",,"R",63001,"R",893583,"R",673638,"Z",0,"R",33079,"A",,"Z",0,"R",0,"R",706717
104443,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",728058,"R",8700,"R",18668,"R",8622,"R",764048,"Z",0,"Z",0,"R",1642143,"R",0,"R",0,"R",0,"R",0,"R",117021,"A",,"R",191758,"R",1950922,"R",1532207,"R",0,"R",111800,"A",,"R",0,"R",0,"R",1644007
104504,"A",,"A",,"A",,"A",,"R",2073184,"R",1615323,"A",,"A",,"A",,"A",,"A",,"A",,"R",395737,"R",32507,"R",15666,"R",0,"R",443910,"R",0,"R",0,"R",1753157,"R",0,"R",0,"R",0,"R",0,"R",320027,"A",,"R",0,"R",2073184,"R",711110,"R",0,"R",437839,"A",,"R",0,"R",466374,"R",1615323
104531,"R",35661923,"R",2168144,"R",33493779,"R",35661923,"R",31036239,"R",28134445,"R",-873840,"R",2027954,"R",31297588,"R",168237,"R",0,"R",33493779,"R",5359050,"R",550893,"R",117666,"R",3290934,"R",9318543,"R",1013738,"R",0,"R",30203956,"R",0,"R",0,"R",0,"R",0,"R",0,"R",832283,"R",0,"R",31036239,"R",7916680,"R",0,"R",17646092,"R",294477,"R",2277196,"R",0,"R",28134445
104568,"A",,"A",,"A",,"A",,"R",3905516,"R",3538607,"A",,"A",,"A",,"A",,"A",,"A",,"R",1165053,"R",0,"R",0,"R",0,"R",1165053,"R",0,"R",0,"R",3497589,"R",0,"R",0,"R",0,"R",0,"R",407927,"A",,"R",0,"R",3905516,"R",2628221,"R",0,"R",910386,"A",,"R",0,"R",0,"R",3538607
104717,"R",174738369,"R",88709868,"R",86028501,"R",174738369,"R",261902278,"R",215344557,"R",-19253695,"R",27304026,"R",5134743,"R",53589733,"R",-1,"R",86028501,"R",36644972,"R",473849,"R",646930,"R",34155056,"R",71920807,"R",34155056,"R",0,"R",249993175,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11909103,"R",0,"R",261902278,"R",54864986,"R",0,"R",154857882,"R",5621689,"R",0,"R",0,"R",215344557
