id,school,in-state,in-state %,out-of-state,out-of-state %,foreign countries,foreign countries %,unknown*,unknown %,total
456001,Advanced Welding Institute,11,64.70%,6,35.30%,-,-,-,-,17
230816,Bennington College,4,2.10%,143,74.50%,45,23.40%,-,-,192
230834,Castleton State College,242,64.70%,121,32.40%,11,2.90%,-,-,374
230852,Champlain College,91,14.40%,536,85.10%,3,0.50%,-,-,630
231077,College of St Joseph,20,23.80%,64,76.20%,-,-,-,-,84
230861,Community College of Vermont,820,94.40%,48,5.50%,1,0.10%,-,-,869
230889,Goddard College,1,20.00%,3,60.00%,1,20.00%,-,-,5
230898,Green Mountain College,10,7.60%,118,90.10%,2,1.50%,1,0.80%,131
230913,Johnson State College,152,68.80%,68,30.80%,1,0.50%,-,-,221
247649,Landmark College,5,4.20%,111,93.30%,1,0.80%,2,1.70%,119
230931,Lyndon State College,153,51.50%,141,47.50%,3,1.00%,-,-,297
230940,Marlboro College,6,12.80%,38,80.90%,3,6.40%,-,-,47
440411,Marlboro College Graduate & Professional Studies,-,-,-,-,-,-,-,-,-
230959,Middlebury College,20,3.40%,475,81.90%,68,11.70%,17,2.90%,580
230977,New England Culinary Institute,27,30.00%,61,67.80%,-,-,2,2.20%,90
230995,Norwich University,72,11.00%,563,85.70%,19,2.90%,3,0.50%,657
231004,O'Briens Aveda Institute,42,100.00%,-,-,-,-,-,-,42
231059,Saint Michael's College,98,17.10%,459,80.00%,17,3.00%,-,-,574
231068,SIT Graduate Institute,-,-,-,-,-,-,-,-,-
231086,Southern Vermont College,16,17.80%,72,80.00%,1,1.10%,1,1.10%,90
231095,Sterling College,2,9.50%,16,76.20%,1,4.80%,2,9.50%,21
231174,University of Vermont,544,23.50%,1702,73.70%,47,2.00%,17,0.70%,2310
455992,Vermont College of Fine Arts,-,-,-,-,-,-,-,-,-
231147,Vermont Law School,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,-,-,-,-,-,-,-,-,-
231165,Vermont Technical College,154,76.60%,32,15.90%,5,2.50%,10,5.00%,201
