UNITID,exists,expenses,revenues,school,tuition_fees,year
230852,True,81665449.0,84034463,Champlain College,60481692,2014
230816,True,36282040.0,36674228,Bennington College,21269138,2014
455992,True,9729359.0,10145969,Vermont College of Fine Arts,7160227,2014
230995,True,105542000.0,121458000,Norwich University,55443000,2014
231068,True,143101626.0,136753077,SIT Graduate Institute,44834903,2015
231077,True,7521120.0,4870208,College of St Joseph,2599196,2015
231086,True,11612194.0,13173803,Southern Vermont College,6407671,2015
231095,True,7666333.0,7332320,Sterling College,1918787,2015
247649,True,26613168.0,26800072,Landmark College,16814844,2015
231059,True,80115837.0,74495081,Saint Michael's College,53297776,2015
231147,True,23907562.0,22397502,Vermont Law School,17113643,2015
230898,True,19124439.0,17363508,Green Mountain College,10380814,2015
230959,True,285665000.0,150078000,Middlebury College,146084000,2015
230940,True,14617032.0,10474301,Marlboro College,4619318,2015
230889,True,9839326.0,9971374,Goddard College,7738405,2015
230852,True,86130424.0,90374531,Champlain College,67522248,2015
230816,True,37591645.0,41266228,Bennington College,23557651,2015
455992,True,10737329.0,11194827,Vermont College of Fine Arts,7609346,2015
230995,True,106400000.0,93109000,Norwich University,57479000,2015
231165,True,39808142.0,38720138,Vermont Technical College,15904752,2009
231156,True,2435429.0,2263831,Vermont State Colleges-Office of The Chancellor,0,2009
231174,True,581900000.0,606166000,University of Vermont,235504000,2009
230931,True,29862335.0,31273673,Lyndon State College,13678274,2009
230913,True,32460078.0,32244997,Johnson State College,15055152,2009
230861,True,32491795.0,34642869,Community College of Vermont,17973770,2009
230834,True,42224260.0,41511510,Castleton University,22143051,2009
231165,True,38599513.0,40378497,Vermont Technical College,15677827,2010
231156,True,5915373.0,4117121,Vermont State Colleges-Office of The Chancellor,0,2010
231174,True,609156000.0,654735000,University of Vermont,247163000,2010
230931,True,29546802.0,30118753,Lyndon State College,12901640,2010
230913,True,30542483.0,31471122,Johnson State College,14076167,2010
230861,True,36280367.0,37470708,Community College of Vermont,18068363,2010
230834,True,43900565.0,43833009,Castleton University,22764775,2010
231165,True,42807922.0,38651963,Vermont Technical College,16067568,2011
231156,True,2906305.0,3464772,Vermont State Colleges-Office of The Chancellor,871,2011
231174,True,608435000.0,578354000,University of Vermont,261770000,2011
230931,True,31340230.0,30201547,Lyndon State College,13766613,2011
230913,True,30782421.0,30666120,Johnson State College,14800516,2011
230861,True,37002328.0,36496973,Community College of Vermont,18721731,2011
230834,True,46387959.0,43123648,Castleton University,23205165,2011
231165,True,47388749.0,52825241,Vermont Technical College,17380328,2012
231156,True,2619671.0,4977332,Vermont State Colleges-Office of The Chancellor,0,2012
231174,True,642630000.0,661721000,University of Vermont,266519000,2012
230931,True,32925268.0,32059461,Lyndon State College,15470157,2012
230913,True,31637516.0,30418878,Johnson State College,14730804,2012
230861,True,37528696.0,36745691,Community College of Vermont,18366022,2012
230834,True,48820225.0,46624213,Castleton University,25081859,2012
231165,True,48015751.0,39973468,Vermont Technical College,17191948,2013
231156,True,352275.0,2885066,Vermont State Colleges-Office of The Chancellor,0,2013
231174,True,652107000.0,679741000,University of Vermont,267149000,2013
230931,True,34137461.0,34121223,Lyndon State College,15728207,2013
230913,True,32261155.0,30683290,Johnson State College,14198410,2013
